,user,year,books_read,pages_read,average
177,33,2023,156,57458,157.42
178,33,2024,80,31127,85.28
179,33,2025,135,53117,145.53
180,34,2016,3,865,2.37
181,34,2017,13,4246,11.63
182,34,2018,5,1748,4.79
183,34,2019,4,1239,3.39
184,34,2020,3,1042,2.85
185,34,2021,0,0,0.0
186,34,2022,26,9371,25.67
187,34,2023,92,39295,107.66
188,34,2024,81,32815,89.9
189,34,2025,128,52203,143.02
190,35,2025,15,4730,12.96
191,36,2020,1,559,1.53
192,36,2021,0,0,0.0
193,36,2022,15,4404,12.07
194,36,2023,71,27995,76.7
195,36,2024,33,11163,30.58
196,36,2025,53,16495,45.19
197,37,2025,8,3585,9.82
198,38,2012,1,276,0.76
199,38,2013,1,215,0.59
200,38,2014,34,12485,34.21
201,38,2015,24,8724,23.9
202,38,2016,0,0,0.0
203,38,2017,0,0,0.0
204,38,2018,0,0,0.0
205,38,2019,0,0,0.0
206,38,2020,0,0,0.0
207,38,2021,0,0,0.0
208,38,2022,1,371,1.02
209,38,2023,28,10340,28.33
210,38,2024,73,28580,78.3
211,38,2025,146,57874,158.56
212,39,2015,44,16261,44.55
213,39,2016,7,2809,7.7
214,39,2017,16,6647,18.21
215,39,2018,24,10178,27.88
216,39,2019,26,11449,31.37
217,39,2020,46,16409,44.96
218,39,2021,98,34751,95.21
219,39,2022,49,18900,51.78
220,39,2023,53,26974,73.9
221,39,2024,59,23146,63.41
222,39,2025,92,48474,132.81
223,40,2022,21,9176,25.14
224,40,2023,48,18730,51.32
225,40,2024,65,28490,78.05
226,40,2025,39,16810,46.05
227,41,2021,55,20774,56.92
228,41,2022,87,34547,94.65
229,41,2023,126,52473,143.76
230,41,2024,81,32917,90.18
231,41,2025,105,38524,105.55
232,42,2025,13,5222,14.31
233,43,2022,5,2228,6.1
234,43,2023,1,323,0.88
235,43,2024,16,6991,19.15
236,43,2025,46,21492,58.88
237,44,2020,24,7247,19.85
238,44,2021,25,5680,15.56
239,44,2022,20,3110,8.52
240,44,2023,20,1847,5.06
241,44,2024,14,2528,6.93
242,44,2025,19,3112,8.53
243,45,2018,1,492,1.35
244,45,2019,0,0,0.0
245,45,2020,1,464,1.27
246,45,2021,0,0,0.0
247,45,2022,3,1151,3.15
248,45,2023,44,16062,44.01
249,45,2024,109,45596,124.92
250,45,2025,91,32456,88.92
251,46,2024,21,11778,32.27
252,46,2025,24,8881,24.33
253,47,2025,13,4595,12.59
254,48,2000,5,998,2.73
255,48,2001,9,2663,7.3
256,48,2002,2,408,1.12
257,48,2003,8,2446,6.7
258,48,2004,12,2764,7.57
259,48,2005,20,4748,13.01
260,48,2006,9,2915,7.99
261,48,2007,23,7000,19.18
262,48,2008,31,9144,25.05
263,48,2009,22,7409,20.3
264,48,2010,34,10571,28.96
265,48,2011,29,10583,28.99
266,48,2012,18,5628,15.42
267,48,2013,13,4748,13.01
268,48,2014,16,5943,16.28
269,48,2015,43,16924,46.37
270,48,2016,81,29621,81.15
271,48,2017,33,11496,31.5
272,48,2018,229,79957,219.06
273,48,2019,107,35455,97.14
274,48,2020,91,30966,84.84
275,48,2021,47,16760,45.92
276,48,2022,14,4293,11.76
277,48,2023,19,7723,21.16
278,48,2024,65,25508,69.88
279,48,2025,120,43070,118.0
280,49,2025,80,29095,79.71
281,50,2019,1,579,1.59
282,50,2020,0,0,0.0
283,50,2021,0,0,0.0
284,50,2022,1,408,1.12
285,50,2023,0,0,0.0
286,50,2024,66,28963,79.35
287,50,2025,168,63505,173.99
288,51,2020,1,352,0.96
289,51,2021,4,1657,4.54
290,51,2022,13,6568,17.99
291,51,2023,34,16984,46.53
292,51,2024,107,44661,122.36
293,51,2025,142,55961,153.32
294,52,2025,9,3403,9.32
295,53,2012,5,2184,5.98
296,53,2013,11,3341,9.15
297,53,2014,4,2105,5.77
298,53,2015,22,7679,21.04
299,53,2016,16,5540,15.18
300,53,2017,5,1486,4.07
301,53,2018,4,2265,6.21
302,53,2019,19,6073,16.64
303,53,2020,32,9858,27.01
304,53,2021,47,13757,37.69
305,53,2022,65,22582,61.87
306,53,2023,72,24841,68.06
307,53,2024,47,15722,43.07
308,53,2025,85,28045,76.84
309,54,2017,1,378,1.04
310,54,2018,0,0,0.0
311,54,2019,1,376,1.03
312,54,2020,0,0,0.0
313,54,2021,54,19035,52.15
314,54,2022,57,17691,48.47
315,54,2023,60,21020,57.59
316,54,2024,40,12861,35.24
317,54,2025,53,19095,52.32
318,55,1983,1,208,0.57
319,55,1984,0,0,0.0
320,55,1985,0,0,0.0
321,55,1986,1,166,0.45
322,55,1987,0,0,0.0
323,55,1988,1,1216,3.33
324,55,1989,0,0,0.0
325,55,1990,0,0,0.0
326,55,1991,0,0,0.0
327,55,1992,0,0,0.0
328,55,1993,0,0,0.0
329,55,1994,0,0,0.0
330,55,1995,0,0,0.0
331,55,1996,0,0,0.0
332,55,1997,0,0,0.0
333,55,1998,0,0,0.0
334,55,1999,0,0,0.0
335,55,2000,1,489,1.34
336,55,2001,0,0,0.0
337,55,2002,0,0,0.0
338,55,2003,2,447,1.22
339,55,2004,0,0,0.0
340,55,2005,0,0,0.0
341,55,2006,0,0,0.0
342,55,2007,0,0,0.0
343,55,2008,0,0,0.0
344,55,2009,0,0,0.0
345,55,2010,0,0,0.0
346,55,2011,0,0,0.0
347,55,2012,0,0,0.0
348,55,2013,16,5415,14.84
349,55,2014,14,4989,13.67
350,55,2015,13,3821,10.47
351,55,2016,26,9144,25.05
352,55,2017,30,8893,24.36
353,55,2018,47,15744,43.13
354,55,2019,12,4749,13.01
355,55,2020,23,8045,22.04
356,55,2021,59,15993,43.82
357,55,2022,63,19124,52.39
358,55,2023,52,15080,41.32
359,55,2024,54,18858,51.67
360,55,2025,64,27385,75.03
361,56,2023,54,22295,61.08
362,56,2024,100,49422,135.4
363,56,2025,101,45921,125.81
364,57,2024,14,4229,11.59
365,57,2025,58,23159,63.45
366,58,2005,3,1032,2.83
367,58,2006,18,6851,18.77
368,58,2007,0,0,0.0
369,58,2008,0,0,0.0
370,58,2009,0,0,0.0
371,58,2010,37,11414,31.27
372,58,2011,107,39000,106.85
373,58,2012,121,43572,119.38
374,58,2013,143,51339,140.65
375,58,2014,145,50640,138.74
376,58,2015,207,69477,190.35
377,58,2016,286,93737,256.81
378,58,2017,332,105521,289.1
379,58,2018,376,122754,336.31
380,58,2019,403,138409,379.2
381,58,2020,327,99496,272.59
382,58,2021,590,187452,513.57
383,58,2022,689,220188,603.25
384,58,2023,672,212033,580.91
385,58,2024,622,199517,546.62
386,58,2025,496,160404,439.46
387,59,2024,53,19152,52.47
388,59,2025,66,23644,64.78
389,60,2012,2,877,2.4
390,60,2013,0,0,0.0
391,60,2014,5,1867,5.12
392,60,2015,21,7960,21.81
393,60,2016,14,5590,15.32
394,60,2017,4,1618,4.43
395,60,2018,4,1731,4.74
396,60,2019,0,0,0.0
397,60,2020,21,7306,20.02
398,60,2021,15,6710,18.38
399,60,2022,14,5299,14.52
400,60,2023,8,3185,8.73
401,60,2024,21,7500,20.55
402,60,2025,16,5635,15.44
403,61,2025,35,14057,38.51
404,62,2015,14,5989,16.41
405,62,2016,4,2175,5.96
406,62,2017,0,0,0.0
407,62,2018,0,0,0.0
408,62,2019,0,0,0.0
409,62,2020,0,0,0.0
410,62,2021,0,0,0.0
411,62,2022,53,19716,54.02
412,62,2023,65,24008,65.78
413,62,2024,75,28924,79.24
414,62,2025,81,28237,77.36
415,63,2025,97,24461,67.02
416,64,2013,19,7871,21.56
417,64,2014,37,16216,44.43
418,64,2015,71,27299,74.79
419,64,2016,66,25689,70.38
420,64,2017,63,24762,67.84
421,64,2018,60,23197,63.55
422,64,2019,56,21150,57.95
423,64,2020,64,22920,62.79
424,64,2021,97,33173,90.88
425,64,2022,128,40270,110.33
426,64,2023,120,41731,114.33
427,64,2024,10,2878,7.88
428,64,2025,136,40773,111.71
429,65,2022,52,19681,53.92
430,65,2023,63,23804,65.22
431,65,2024,83,25300,69.32
432,65,2025,77,29642,81.21
433,66,2024,62,27216,74.56
434,66,2025,28,9099,24.93
435,67,2015,14,3104,8.5
436,67,2016,1,383,1.05
437,67,2017,9,2264,6.2
438,67,2018,74,19854,54.39
439,67,2019,103,32168,88.13
440,67,2020,140,43704,119.74
441,67,2021,112,35132,96.25
442,67,2022,166,60997,167.12
443,67,2023,211,71801,196.72
444,67,2024,135,48255,132.21
445,67,2025,154,53209,145.78
446,68,1995,1,288,0.79
447,68,1996,0,0,0.0
448,68,1997,0,0,0.0
449,68,1998,0,0,0.0
450,68,1999,0,0,0.0
451,68,2000,0,0,0.0
452,68,2001,0,0,0.0
453,68,2002,0,0,0.0
454,68,2003,0,0,0.0
455,68,2004,0,0,0.0
456,68,2005,0,0,0.0
457,68,2006,0,0,0.0
458,68,2007,3,935,2.56
459,68,2008,17,6353,17.41
460,68,2009,21,7642,20.94
461,68,2010,20,7059,19.34
462,68,2011,7,2750,7.53
463,68,2012,16,5607,15.36
464,68,2013,19,7179,19.67
465,68,2014,16,5539,15.18
466,68,2015,26,8073,22.12
467,68,2016,24,7130,19.53
468,68,2017,31,9635,26.4
469,68,2018,30,10936,29.96
470,68,2019,29,8840,24.22
471,68,2020,32,12269,33.61
472,68,2021,36,12255,33.58
473,68,2022,33,10429,28.57
474,68,2023,33,10831,29.67
475,68,2024,33,10573,28.97
476,68,2025,32,9564,26.2
477,69,2024,47,12362,33.87
478,69,2025,58,14779,40.49
479,70,2020,8,3652,10.01
480,70,2021,41,16457,45.09
481,70,2022,36,14486,39.69
482,70,2023,25,10326,28.29
483,70,2024,37,12130,33.23
484,70,2025,55,20058,54.95
485,71,2025,6,1144,3.13
486,72,2020,6,2110,5.78
487,72,2021,3,912,2.5
488,72,2022,16,5833,15.98
489,72,2023,37,18680,51.18
490,72,2024,2,755,2.07
491,72,2025,29,14963,40.99
492,73,2017,1,230,0.63
493,73,2018,2,808,2.21
494,73,2019,5,1814,4.97
495,73,2020,12,3583,9.82
496,73,2021,5,1731,4.74
497,73,2022,13,4340,11.89
498,73,2023,16,5885,16.12
499,73,2024,10,2546,6.98
500,73,2025,8,2404,6.59
501,74,2019,48,15901,43.56
502,74,2020,36,11212,30.72
503,74,2021,34,11974,32.81
504,74,2022,70,22632,62.01
505,74,2023,51,17575,48.15
506,74,2024,30,11050,30.27
507,74,2025,41,15143,41.49
508,75,2021,1,326,0.89
509,75,2022,14,5023,13.76
510,75,2023,51,17519,48.0
511,75,2024,42,14950,40.96
512,75,2025,100,35215,96.48
513,76,2000,2,843,2.31
514,76,2001,1,186,0.51
515,76,2002,2,411,1.13
516,76,2003,2,412,1.13
517,76,2004,1,192,0.53
518,76,2005,1,241,0.66
519,76,2006,0,0,0.0
520,76,2007,1,552,1.51
521,76,2008,0,0,0.0
522,76,2009,0,0,0.0
523,76,2010,8,3459,9.48
524,76,2011,4,1642,4.5
525,76,2012,4,1874,5.13
526,76,2013,1,393,1.08
527,76,2014,0,0,0.0
528,76,2015,1,277,0.76
529,76,2016,0,0,0.0
530,76,2017,1,343,0.94
531,76,2018,1,432,1.18
532,76,2019,6,2322,6.36
533,76,2020,3,1813,4.97
534,76,2021,3,1097,3.01
535,76,2022,17,5844,16.01
536,76,2023,22,7260,19.89
537,76,2024,25,9822,26.91
538,76,2025,45,18319,50.19
539,77,2019,8,3574,9.79
540,77,2020,4,1570,4.3
541,77,2021,5,1215,3.33
542,77,2022,15,6521,17.87
543,77,2023,51,16726,45.82
544,77,2024,116,24997,68.48
545,77,2025,112,23691,64.91
546,78,2004,1,388,1.06
547,78,2005,0,0,0.0
548,78,2006,0,0,0.0
549,78,2007,0,0,0.0
550,78,2008,0,0,0.0
551,78,2009,0,0,0.0
552,78,2010,0,0,0.0
553,78,2011,0,0,0.0
554,78,2012,0,0,0.0
555,78,2013,1,333,0.91
556,78,2014,0,0,0.0
557,78,2015,0,0,0.0
558,78,2016,0,0,0.0
559,78,2017,1,306,0.84
560,78,2018,0,0,0.0
561,78,2019,0,0,0.0
562,78,2020,2,467,1.28
563,78,2021,2,766,2.1
564,78,2022,1,529,1.45
565,78,2023,1,384,1.05
566,78,2024,3,1209,3.31
567,78,2025,11,3622,9.92
568,79,2014,2,1840,5.04
569,79,2015,0,0,0.0
570,79,2016,0,0,0.0
571,79,2017,0,0,0.0
572,79,2018,0,0,0.0
573,79,2019,24,12465,34.15
574,79,2020,22,9677,26.51
575,79,2021,30,14048,38.49
576,79,2022,29,11338,31.06
577,79,2023,23,9507,26.05
578,79,2024,43,15025,41.16
579,79,2025,99,33400,91.51
580,80,2001,1,37,0.1
581,80,2002,0,0,0.0
582,80,2003,1,870,2.38
583,80,2004,0,0,0.0
584,80,2005,0,0,0.0
585,80,2006,1,503,1.38
586,80,2007,0,0,0.0
587,80,2008,2,645,1.77
588,80,2009,1,304,0.83
589,80,2010,1,112,0.31
590,80,2011,1,422,1.16
591,80,2012,0,0,0.0
592,80,2013,0,0,0.0
593,80,2014,0,0,0.0
594,80,2015,0,0,0.0
595,80,2016,0,0,0.0
596,80,2017,0,0,0.0
597,80,2018,26,7002,19.18
598,80,2019,20,5946,16.29
599,80,2020,36,11393,31.21
600,80,2021,56,19109,52.35
601,80,2022,55,19541,53.54
602,80,2023,35,12517,34.29
603,80,2024,74,27425,75.14
604,80,2025,60,21811,59.76
605,81,2013,2,716,1.96
606,81,2014,5,2912,7.98
607,81,2015,13,5013,13.73
608,81,2016,14,4214,11.55
609,81,2017,12,4713,12.91
610,81,2018,19,8293,22.72
611,81,2019,11,4656,12.76
612,81,2020,98,36950,101.23
613,81,2021,185,73871,202.39
614,81,2022,211,74765,204.84
615,81,2023,137,52165,142.92
616,81,2024,124,50350,137.95
617,81,2025,66,26030,71.32
618,82,2025,70,26266,71.96
619,83,2016,1,384,1.05
620,83,2017,5,1492,4.09
621,83,2018,15,4134,11.33
622,83,2019,16,5315,14.56
623,83,2020,9,2880,7.89
624,83,2021,17,6124,16.78
625,83,2022,31,10057,27.55
626,83,2023,15,5157,14.13
627,83,2024,37,12537,34.35
628,83,2025,16,4727,12.95
629,84,2023,31,15508,42.49
630,84,2024,85,39547,108.35
631,84,2025,75,35773,98.01
632,85,2025,82,31059,85.09
633,86,2011,2,902,2.47
634,86,2012,1,318,0.87
635,86,2013,0,0,0.0
636,86,2014,0,0,0.0
637,86,2015,1,304,0.83
638,86,2016,3,956,2.62
639,86,2017,8,2646,7.25
640,86,2018,23,7272,19.92
641,86,2019,17,5308,14.54
642,86,2020,12,4051,11.1
643,86,2021,17,5724,15.68
644,86,2022,30,8833,24.2
645,86,2023,22,6934,19.0
646,86,2024,31,11080,30.36
647,86,2025,26,9010,24.68
648,87,2024,2,600,1.64
649,87,2025,69,23386,64.07
650,88,2024,3,1042,2.85
651,88,2025,22,7686,21.06
652,89,2016,1,404,1.11
653,89,2017,1,159,0.44
654,89,2018,4,1181,3.24
655,89,2019,1,271,0.74
656,89,2020,2,755,2.07
657,89,2021,10,3896,10.67
658,89,2022,104,33697,92.32
659,89,2023,79,25705,70.42
660,89,2024,33,11130,30.49
661,89,2025,59,18436,50.51
662,90,2022,1,448,1.23
663,90,2023,78,29911,81.95
664,90,2024,77,28445,77.93
665,90,2025,63,24500,67.12
666,91,2022,36,15673,42.94
667,91,2023,11,3770,10.33
668,91,2024,27,12173,33.35
669,91,2025,16,4722,12.94
670,92,2025,39,14521,39.78
671,93,2023,2,618,1.69
672,93,2024,280,57700,158.08
673,93,2025,48,9424,25.82
674,94,2019,1,288,0.79
675,94,2020,53,15805,43.3
676,94,2021,68,16183,44.34
677,94,2022,79,24143,66.15
678,94,2023,118,37746,103.41
679,94,2024,204,69206,189.61
680,94,2025,159,49234,134.89
681,95,2021,2,560,1.53
682,95,2022,0,0,0.0
683,95,2023,0,239,0.65
684,95,2024,6,2951,8.08
685,95,2025,19,8319,22.79
686,96,2024,204,72934,199.82
687,96,2025,180,72050,197.4
688,97,2025,89,32306,88.51
689,98,2023,18,6362,17.43
690,98,2024,25,7966,21.82
691,98,2025,25,8162,22.36
692,99,2023,28,6592,18.06
693,99,2024,51,17198,47.12
694,99,2025,48,15150,41.51
695,100,2017,1,195,0.53
696,100,2018,0,0,0.0
697,100,2019,0,0,0.0
698,100,2020,38,13841,37.92
699,100,2021,50,19369,53.07
700,100,2022,23,8302,22.75
701,100,2023,40,16594,45.46
702,100,2024,37,15678,42.95
703,100,2025,40,18073,49.52
704,101,2011,6,3567,9.77
705,101,2012,11,4562,12.5
706,101,2013,0,0,0.0
707,101,2014,1,1216,3.33
708,101,2015,0,0,0.0
709,101,2016,2,476,1.3
710,101,2017,4,1341,3.67
711,101,2018,3,1177,3.22
712,101,2019,4,1421,3.89
713,101,2020,25,8795,24.1
714,101,2021,34,12891,35.32
715,101,2022,25,10725,29.38
716,101,2023,33,13495,36.97
717,101,2024,15,7755,21.25
718,101,2025,27,10453,28.64
719,102,2020,4,892,2.44
720,102,2021,25,6059,16.6
721,102,2022,24,6813,18.67
722,102,2023,26,7045,19.3
723,102,2024,28,6889,18.87
724,102,2025,18,3917,10.73
725,103,2012,6,2319,6.35
726,103,2013,1,306,0.84
727,103,2014,28,9293,25.46
728,103,2015,19,6010,16.47
729,103,2016,4,2264,6.2
730,103,2017,0,0,0.0
731,103,2018,0,0,0.0
732,103,2019,1,274,0.75
733,103,2020,0,0,0.0
734,103,2021,2,767,2.1
735,103,2022,86,30196,82.73
736,103,2023,163,56662,155.24
737,103,2024,205,67825,185.82
738,103,2025,197,73632,201.73
739,104,2008,1,832,2.28
740,104,2009,0,0,0.0
741,104,2010,0,0,0.0
742,104,2011,0,0,0.0
743,104,2012,0,0,0.0
744,104,2013,0,0,0.0
745,104,2014,0,0,0.0
746,104,2015,1,322,0.88
747,104,2016,10,2646,7.25
748,104,2017,22,6394,17.52
749,104,2018,38,12268,33.61
750,104,2019,34,7834,21.46
751,104,2020,61,18734,51.33
752,104,2021,67,19694,53.96
753,104,2022,69,21127,57.88
754,104,2023,54,19511,53.45
755,104,2024,60,19210,52.63
756,104,2025,54,16570,45.4
757,105,2023,1,324,0.89
758,105,2024,39,14580,39.95
759,105,2025,39,18269,50.05
760,106,2022,34,11674,31.98
761,106,2023,34,11153,30.56
762,106,2024,21,7834,21.46
763,106,2025,19,6727,18.43
764,107,2023,1,389,1.07
765,107,2024,42,14998,41.09
766,107,2025,66,20073,54.99
767,108,2017,2,1094,3.0
768,108,2018,0,0,0.0
769,108,2019,0,0,0.0
770,108,2020,0,0,0.0
771,108,2021,0,0,0.0
772,108,2022,0,0,0.0
773,108,2023,0,0,0.0
774,108,2024,0,0,0.0
775,108,2025,19,6815,18.67
776,109,2023,19,6503,17.82
777,109,2024,35,13565,37.16
778,109,2025,57,22395,61.36
779,110,2022,140,60349,165.34
780,110,2023,135,59001,161.65
781,110,2024,320,137457,376.59
782,110,2025,381,148920,408.0
783,111,2012,1,0,0.0
784,111,2013,0,0,0.0
785,111,2014,0,0,0.0
786,111,2015,0,0,0.0
787,111,2016,107,36215,99.22
788,111,2017,66,21376,58.56
789,111,2018,7,2110,5.78
790,111,2019,6,1918,5.25
791,111,2020,126,41251,113.02
792,111,2021,132,40082,109.81
793,111,2022,175,56276,154.18
794,111,2023,329,104915,287.44
795,111,2024,303,99489,272.57
796,111,2025,289,102326,280.35
797,112,2014,5,1967,5.39
798,112,2015,36,10792,29.57
799,112,2016,24,6341,17.37
800,112,2017,17,5830,15.97
801,112,2018,11,3291,9.02
802,112,2019,15,5454,14.94
803,112,2020,19,5309,14.55
804,112,2021,27,8490,23.26
805,112,2022,31,9225,25.27
806,112,2023,24,7893,21.62
807,112,2024,32,10534,28.86
808,112,2025,34,9225,25.27
809,113,2024,35,15243,41.76
810,113,2025,102,40128,109.94
811,114,2023,2,672,1.84
812,114,2024,9,3311,9.07
813,114,2025,14,5299,14.52
814,115,2025,19,9193,25.19
815,116,2025,7,2042,5.59
816,117,2023,12,3935,10.78
817,117,2024,24,9122,24.99
818,117,2025,22,8746,23.96
819,118,2018,11,4212,11.54
820,118,2019,61,19325,52.95
821,118,2020,13,5145,14.1
822,118,2021,79,21995,60.26
823,118,2022,107,27357,74.95
824,118,2023,73,34962,95.79
825,118,2024,74,23401,64.11
826,118,2025,82,28201,77.26
827,119,2017,39,11233,30.78
828,119,2018,68,19494,53.41
829,119,2019,68,20455,56.04
830,119,2020,41,10134,27.76
831,119,2021,41,13565,37.16
832,119,2022,76,28686,78.59
833,119,2023,83,33607,92.07
834,119,2024,116,41477,113.64
835,119,2025,78,25556,70.02
836,120,2017,1,480,1.32
837,120,2018,1,637,1.75
838,120,2019,0,0,0.0
839,120,2020,0,0,0.0
840,120,2021,0,0,0.0
841,120,2022,0,0,0.0
842,120,2023,401,128143,351.08
843,120,2024,625,194410,532.63
844,120,2025,699,212573,582.39
845,121,2025,18,7592,20.8
846,122,2024,113,41814,114.56
847,122,2025,78,19337,52.98
848,123,2021,19,7090,19.42
849,123,2022,34,11658,31.94
850,123,2023,55,20052,54.94
851,123,2024,40,15891,43.54
852,123,2025,29,11959,32.76
853,124,2007,2,1110,3.04
854,124,2008,0,0,0.0
855,124,2009,0,0,0.0
856,124,2010,0,0,0.0
857,124,2011,0,0,0.0
858,124,2012,1,374,1.02
859,124,2013,1,554,1.52
860,124,2014,0,0,0.0
861,124,2015,0,0,0.0
862,124,2016,0,0,0.0
863,124,2017,0,0,0.0
864,124,2018,2,1021,2.8
865,124,2019,1,368,1.01
866,124,2020,0,0,0.0
867,124,2021,1,284,0.78
868,124,2022,1,393,1.08
869,124,2023,7,2463,6.75
870,124,2024,21,6254,17.13
871,124,2025,7,2613,7.16
872,125,2020,9,2763,7.57
873,125,2021,28,10587,29.01
874,125,2022,36,11371,31.15
875,125,2023,30,12243,33.54
876,125,2024,17,6530,17.89
877,125,2025,13,4843,13.27
878,126,2024,8,3909,10.71
879,126,2025,8,4793,13.13
880,127,2022,28,10319,28.27
881,127,2023,36,12476,34.18
882,127,2024,52,19535,53.52
883,127,2025,108,30519,83.61
884,128,2023,4,2128,5.83
885,128,2024,45,20336,55.72
886,128,2025,31,11422,31.29
887,129,2022,5,2731,7.48
888,129,2023,15,8262,22.64
889,129,2024,15,7638,20.93
